Вид работ
Демонтаж стяжки толщиной до 50 мм
Демонтаж армированной стяжки толщиной до 100 мм
Нанесение ремонтного состава на бетонную поверхность
Шлифование бетонной и цементной поверхности
Фрезерование бетонных и цементных поверхностей
Резка бетонного основания пола до 50 мм.
Огрунтовка бетонной поверхности
Монтаж стяжки толщиной до 50 мм
Монтаж армированной стяжки толщиной до 100 мм
Обмазочная гидроизоляция в 1 слой
Обмазочная гидроизоляция в 2 слоя
Демонтаж основания пола из фанеры толщ. до 20 мм (1 слой) без сохранения
Демонтаж основания пола из фанеры толщ. до 20 мм (1 слой) с сохранением фанеры
Монтаж основания пола из фанеры толщ. до 20 мм (1 слой)
Ремонт основания пола из фанеры толщ. до 20 мм 
Замена основания пола из фанеры толщ. до 20 мм (1 слой)
Демонтаж деревянной конструкции подиума
Монтаж деревянной конструкции подиума
Ремонт деревянной конструкции подиума
Демонтаж фанеры, ДСП, ДВП
Монтаж фанеры, ДСП, ДВП
Ремонт фанеры, ДСП, ДВП
Замена фанеры, ДСП, ДВП
Демонтаж плиты фальшпола (при толщине плиты до 50 мм) с сохранением
Монтаж плиты фальшпола (при толщине плиты до 50 мм)
Выравнивание плиты фальшпола (при толщине плиты до 50 мм)
Демонтаж металлической ножки фальшпола
Монтаж металлической ножки фальшпола
Ремонт металлической ножки фальшпола
Демонтаж лаги из бруса не более 150х100 мм
Монтаж лаги из бруса не более 150х100 мм
Ремонт лаги из бруса не более 150х100 мм
Демонтаж дощатого покрытия
Монтаж дощатого покрытия
Ремонт дощатого покрытия
Демонтаж напольной керамогранитной плитки
Монтаж напольной керамогранитнной плитки (без учёта стоимости материала)
Напольная керамогранитная плитка (низкая ценовая категория)
Напольная керамогранитная плитка (средняя ценовая категория)
Напольная керамогранитная плитка (высокая ценовая категория)
Затирка межплиточных швов
Затирка крепёжных отверстий в плитке при отсутствии сколов, трещин на поверхности 
Разделка межплиточных швов
Замена напольной керамогранитнной плитки (низкая ценовая категория)
Замена напольной керамогранитнной плитки (средняя ценовая категория)
Замена напольной керамогранитнной плитки (высокая ценовая категория)
Демонтаж напольной керамической плитки
Монтаж напольной керамической плитки (без учёта стоимости материала)
Напольная керамическая плитка (низкая ценовая категория)
Напольная керамическая плитка (средняя ценовая категория)
Напольная керамическая плитка (высокая ценовая категория)
Затирка межплиточных швов
Разделка межплиточных швов
Замена напольной керамической плитки (низкая ценовая категория)
Замена напольной керамической плитки (средняя ценовая категория)
Замена напольной керамической плитки (высокая ценовая категория)
Демонтаж напольной плитки ПВХ
Монтаж напольной плитки из ПВХ
Ремонт напольной плитки из ПВХ
Демонтаж рулонного линолеума на клее
Демонтаж рулонного линолеума на клее-фиксаторе
Демонтаж плиточного линолеума на клее
Демонтаж плиточного линолеума на клее-фиксаторе
Монтаж рулонного линолеума на клее
Монтаж рулонного линолеума на клее-фиксаторе
Монтаж плиточного линолеума на клее
Монтаж плиточного линолеума на клее-фиксаторе
Замена рулонного линолеума на клее
Замена рулонного линолеума на клее-фиксаторе
Замена плиточного линолеума на клее
Замена плиточного линолеума на клее-фиксаторе
Демонтаж половой доски
Монтаж половой доски
Ремонт половой доски
Демонтаж напольной гранитной/мраморной плиты
Монтаж напольной гранитной/мраморной плиты (без учёта стоимости материала)
Напольная гранитная/мраморная плита (низкая ценовая категория)
Напольная гранитная/мраморная плита (средняя ценовая категория)
Напольная гранитная/мраморная плита (высокая ценовая категория)
Затирка межплиточных швов
Разделка межплиточных швов
Реставрация напольной гранитной/мраморной плиты
Демонтаж рулонного ковролина на клее
Демонтаж рулонного ковролина на клее-фиксаторе
Демонтаж ковровой плитки на клее
Демонтаж ковровой плитки на клее-фиксаторе
Монтаж рулонного ковролина на клее
Монтаж рулонного ковролина на клее-фиксаторе
Монтаж ковровой плитки на клее
Монтаж ковровой плитки на клее-фиксаторе
Демонтаж паркетной доски
Монтаж паркетной доски (без учёта стоимости материала)
Паркетная доска (низкая ценовая категория)
Паркетная доска (средняя ценовая категория)
Паркетная доска (высокая ценовая категория)
Подложка под паркетную доску
Ремонт паркетной доски
Реставрация паркетной доски
Демонтаж щитового и штучного паркета
Монтаж щитового и штучного паркета (без учёта стоимости материала)
Щитовой и штучный паркет (низкая ценовая категория)
Щитовой и штучный паркет (средняя ценовая категория)
Щитовой и штучный паркет (высокая ценовая категория)
Ремонт щитового и штучного паркета
Реставрация щитового и штучного паркета
Демонтаж полимерного покрытия
Монтаж полимерного базового покрытия на бетонную поверхность
Монтаж финишного полимерного покрытия на подготовленную бетонную поверхность
Ремонт полимерного покрытия
Демонтаж плинтуса
Монтаж пластикового плинтуса  в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы)
Монтаж алюминиевого плинтуса  в том числе необходимые материалы для крепежа (дюбель,  дюбель гвоздь, саморезы)
